"count","CDTA2020"
2084,"BK01"
1488,"BK02"
1667,"BK03"
893,"BK04"
2383,"BK05"
999,"BK06"
1171,"BK07"
1213,"BK08"
1188,"BK09"
1152,"BK10"
1494,"BK11"
2184,"BK12"
932,"BK13"
2079,"BK14"
1860,"BK15"
1358,"BK16"
2153,"BK17"
2002,"BK18"
92,"BK55"
3,"BK56"
1407,"BX01"
769,"BX02"
1008,"BX03"
1316,"BX04"
1348,"BX05"
1059,"BX06"
1306,"BX07"
660,"BX08"
1252,"BX09"
832,"BX10"
1081,"BX11"
1570,"BX12"
38,"BX26"
76,"BX27"
7,"BX28"
1032,"MN01"
1324,"MN02"
1855,"MN03"
1966,"MN04"
2672,"MN05"
2394,"MN06"
1219,"MN07"
1618,"MN08"
740,"MN09"
1237,"MN10"
1508,"MN11"
1419,"MN12"
178,"MN64"
1598,"QN01"
1222,"QN02"
1546,"QN03"
1576,"QN04"
1420,"QN05"
956,"QN06"
2290,"QN07"
1148,"QN08"
1143,"QN09"
1085,"QN10"
643,"QN11"
2641,"QN12"
1478,"QN13"
733,"QN14"
1,"QN80"
48,"QN81"
44,"QN82"
3,"QN83"
2,"QN84"
1103,"SI01"
603,"SI02"
560,"SI03"
0,"SI95"
